57.txt,It is natural to suppose that liars aim to have us believe whatever it is they falsely assert.,It is natural to suppose that
58.txt,"That is not  necessarily the case, however.","That is not  necessarily the case, however."
59.txt,"Their purposes might be served as well if their false assertions make us  retract beliefs we had previously adopted, or keep us from accepting something our evidence would  otherwise have inclined us to believe.",null
60.txt,Depending on what their purpose is converting us to a view  they falsely profess or diverting us from a view we tend to endorse they may want to follow different  strategies of deceit.,Depending on what their purpose is
61.txt,A politician in this kind of situation if cynical enough may reason that a subtle lie on X will not succeed in creating enough doubt about  climate science to have a noticeable effect on the turn-out for their opponent.,have a noticeable effect on
62.txt,"By contrast, a blatant  lie may work, in that it will result in just enough doubt about the opponents view on X  to curb some of the publics erstwhile enthusiasm for the candidate, which in turn  may be just enough to make them stay home on election day.",By contrast
63.txt,"This possibility is far from academic, as  we have all been able to read in reports about the Brexit campaign as well as the Trump campaign for  the 2016 presidential election.",as well as
65.txt,"Assuming an at least minimally rational public, a successful misinformation campaign will automatically  mean a successful disinformation campaign.",null
66.txt,"However, for that same reason, a disinformation  campaign will typically have a greater chance of success than a misinformation campaign.",null
67.txt,Whether a  disinformation campaign is enough will depend on the situation.,depend on
68.txt,"For example, from the perspective of tobacco producers, all that matters may be that people do  not believe that smoking is detrimental to their health .","For example, from the perspective of"
69.txt,The former  may be all that is needed to keep tobacco sales at a profitable level; trying to convince the public that  smoking is actually safe may then come at an additional cost with no corresponding return.,null
70.txt,"Similarly,  to win an election, it may be enough to suppress voter enthusiasm among potential voters for your  opponent.",it may be enough to
71.txt,"These people may never vote for you, but just to dampen voter turnout for your opponent  may be enough for you to win.",null
72.txt,"And to diminish this kind of enthusiasm, it may be enough to divert  the public from the truth, not necessarily to make them believe whatever lies you are spreading.",it may be enough to
73.txt,"On the other hand, most Brexiteers seem to have made a serious effort to convince their countrymen that  Leave was the right choice to make in the referendum .",On the other hand
74.txt,"As mentioned in the introduction, the question whether there is anything we can do to protect  ourselves against these kinds of campaigns has been much in the limelight both in academic and  non-academic publications.",As mentioned in the introduction
75.txt,"Against the background of the mathematical model of communication  we are considering here, we may ask whether it could help to be selective in counting others as our  peers ?",it could help to
76.txt,"More generally, are there combinations of  and values that minimize the likelihood for  a misinformation campaign to succeed?",More generally
77.txt,"If so, do the same combinations offer maximum protection  against disinformation campaigns?",null
78.txt,"There is at least one straightforward answer to these questions, to wit, set either equal to 0 or  equal to 1, or both.",null
79.txt,"If you only go by the evidence you get directly from the world, none of the other  community members will have any influence on how you form your opinions.",have any influence on
81.txt,"Note, however, that this would amount to giving up on social learning entirely, and that we  submit is not a realistic option.",amount to
83.txt,"But even if not, it is certainly correct that,as Schurz  points  out, individual learning tends to be much more costly than social learnin.",it is certainly correct that
84.txt,"Allowing ourselves to be influenced by the views of others is not just  something we happen to do, it is something we ought to do in addition to investigating the world  ourselves, rather than as a replacement for that.",it is something we ought to do
85.txt,"Hence, what we should be looking for is a possibility  to be at the same time somewhat sensitive to the opinions of others and still relatively safe from misand  disinformation campaigns.",at the same time
86.txt,it appears eminently suitable to investigate the above kind of  questions.,it appears eminently suitable to
87.txt,"Unfortunately, however, and as indicated already, in its present form the model makes  no provision for representing untruthful agents, the kind of agents running mis- or disinformation  campaigns.",makes no provision for
88.txt,"The assumption that all agents are truthful may, for many purposes, be a harmless and  perhaps even useful idealization but it makes the model unusable as a tool for answering questions  about mis- and disinformation campaigns.",it makes the model unusable as a tool for
89.txt,"As we mentioned, however, one reason why the BC model has gained popularity is its great  flexibility.",one reason why the BC model has gained popularity is
90.txt,"In the following we aim to show that, because of this flexibility, the above questions do not  motivate a radical rethinking of the computational modeling of epistemically interacting agents.",we aim to show that
91.txt,"To the contrary, it is relatively easy to concretize or deidealize the BC model with an eye toward modeling interactions among agents not all of whom are  truthful or willing to make a serious effort of informing themselves.","To the contrary, it is relatively easy to"
92.txt,"In the next section, we take a first step toward this concretization, by extending the BC model to  one that covers communities with non-truthful agents.",take a first step toward
93.txt,"In Section 4, we address another limitation of  the BC model, to wit, that it treats the level of  open-mindedness, in the sense of willingness to take  others opinions into account, as being fixed, instead of being itself open to change.",address another limitation of
94.txt,"The first extension  allows us to model the kind of mis- and disinformation campaigns that motivated the present project,  the second allows us to model possible countermeasures against such campaigns.",null
95.txt,"In the extension to the BC model to be introduced in this section, agents are typed according to how  epistemically responsible they are.",In the extension to the BC model to be introduced in this section
96.txt,"We look at the effects of irresponsible agents on the truth-seeking  endeavors of the responsible agents, where the latter are the agents that already populated the original  BC model.",the effects of
97.txt,The agents that populated the original BC model will henceforth be called truth-seekers.,null
98.txt,"In a first  step, we introduce only one new type of agents, to be calledcampaigners.",In a first step
99.txt,Agents of this new type  do not update in the normal way.,null
100.txt,"In fact, in a clear sense they do not update at all, but rather stick to a  fixed opinion  [0, 1] about the value of .","In fact, in a clear sense"
101.txt,"In all situations to be considered, it will hold that, though important questions will concern how far removed  is from .",it will hold that
102.txt,"Formally, then, the extension to be studied first is characterized by the following bounded confidence with campaigners are as defined previously.",is characterized by
103.txt,"As a further extension, we also want to introduce a type of agent unwilling to gather, or even listen to, worldly evidence but only updating by averaging the opinions of those within her BCI.",As a further extension
104.txt,We refer to such agents as free riders.,refer to
105.txt,"These agents may not have an agenda, hidden or otherwise, to deflect the  truth-seekers from the truth.",null
106.txt,"But their unwillingness to make a serious effort to inform themselves,  other than by listening to their epistemic neighbors, may nonetheless make them complicit in mis- or  disinformation efforts.",make a serious effort to
107.txt,Whether that is really so is something we hope to determine.,null
108.txt,The formal specification of this bounded confidence with campaigners and free riders .,null
109.txt,"Needless to say, our focus will be only on the truth-seekers and, when present, the free riders; as for the campaigners, there is nothing to know about them that we do not know already from their  definition: they simply stick to their fixed opinion under all circumstances, no matter how many  updates we consider.",there is nothing to know about
110.txt,The first questions now to be looked at are how much damage to a society the presence of campaigners can do.,looked at
111.txt,"To develop an understanding of the impact campaigners can have, we start with the simplest model.",null
112.txt,"Thus, whatever the value of  may be,  does not have any influence on the dynamics.",have any influence on
113.txt,"Here and elsewhere, the communities we look at will always include 50 truth seekers, unless indicated  otherwise.",look at
114.txt,"For the first experiment, we consider a variable number of campaigners, that is, agents who do not attend to any other opinion .",null
115.txt,"It is clearly seen that how many others get converted, on average, depends on  the number of campaigners present in the community and on how liberal the others are in counting  others as their peers.",It is clearly seen that
116.txt,We might already seem to face a puzzling phenomenon here.,null
117.txt,"in the left panel of Figure 2, we see that conversion is more successful with fewer campaigners  present than with more of them present, where one might have expected to find the opposite.",null
118.txt,"On  closer inspection, however, the phenomenon is easily understandable.",null
119.txt,"It is due to the fact that the  more campaigners there are, the greater the pull their opinion  exerts on the truth-seekers in their  vicinity, and the greater the chance there will occur an early split among the truth-seekers.",It is due to the fact that
120.txt,"With fewer  campaigners, truth-seekers in their vicinity are also pulled in their direction, but not as strongly, it is easier for other truth-seekers to catch on.",it is easier for
121.txt,"And by catching on, these others can also come under the influence of the campaigners and thereby eventually end up believing .",null
122.txt,"By contrast, if an early split  occurs, some truth-seekers may forever remain out of the reach of the campaigners.",By contrast
123.txt,"The single runs  shown in Figure 3, one featuring eight campaigners , the other fifty, illustrate  this phenomenon.",null
124.txt,Now let us have a look at the more interesting kind of case in which is not equal to 0 and so  the truth-seekers also base their updates on evidence coming from the world.,base on
126.txt,The foregoing result indicates that this may depend on what that opinion is and also on how many campaigners there are in the community.,depend on
128.txt,Figure 4 indicates an answer to the second question.,null
129.txt,"It shows, averaged over 100 simulations for  each combination of number of campaigners and value, the number of truth-seekers whose opinion  equals  in the fixed point .",null
130.txt,"The results are for three values  of  only, but the trend is manifest.",null
131.txt,"The rate at which truth-seekers have been effectively disinformed  in the fixed point depends on bothand the number of campaigners, but most importantly it depends on how far from the truth the campaigners  opinion is.",most importantly it depends  on
132.txt,"We see that, from the perspective of the  campaigners, supposing their goal is disinformation, it pays to be subtle.",from the perspective of
133.txt,This will be a recurring  theme.,null
134.txt,"We are not showing any figures related to the first question, simply because there is not much  of interest to be shown: for the aforementioned parameter settings, none of the truth-seekers get  converted to the campaigners  opinion.",there is not much  of interest to be shown
135.txt,"It is in fact only when the campaigners get very subtle for  instance, by holding an opinion of 0.11  and when we lower  quite a bit, like  to 0.05, that conversion starts to occur,  this may  still only occur if the number of campaigners present in the community is near its maximum.",It is in fact that
136.txt,"Under  circumstances that are just barely less extreme, truth-seekers, while massively lured away from the  truth, are still enough in touch with the world to not become misinformed.",null
137.txt,"So far, we have only considered communities that consisted of truth-seekers and campaigners.",consist of
138.txt,"But in addition we ran simulations with communities that also featured fixed numbers of free riders, agents who are not dogmatic but who update strictly by averaging the opinions of those within their  BCI.",in addition
139.txt,"More exactly, we reran three times the simulations whose results are visualized in Figure 4, once  with 10 free riders added, once with 25, and once with 50.",null
140.txt,"The question we were interested in was what effect the presence of those numbers of free riders had on the number of truth-seekers that ended up,in the fixed point, believing the truth.",The question we were interested in was
141.txt,"Figure 5 brings out the effects for the nine kinds of situations  by plotting the results,for any combination of number of campaigners present and value.",brings out the effects for
142.txt,"Note that, in principle, this can yield results from C50 to 50.",in principle
143.txt,"meaning that for various combinations of parameter settings, the  presence of free riders has a clear negative epistemic effect on the truth-seekers.",has a clear negative epistemic effect on
144.txt,It is remarkable that  the results are largely insensitive to how many free riders there are: the risk brought about by 50 free  riders seems only slightly greater than that brought about by just 10.,It is remarkable that  the results are largely insensitive to
145.txt,To further clarify the results: the yellow slivers in Figure 5 indicate combinations of parameter settings for which truth-seekers that tend to arrive at the truth in the fixed point when no free riders are  present are diverted from the truth in the fixed point when free riders are present.,null
146.txt,"In other words, in  the yellow areas, the presence of free riders helps to bring about the success of disinformation attempts  that would otherwise have faltered.",In other words
147.txt,"The patterns in the various plots may at first appear mysterious, but in fact they are easy to explain.",in fact
148.txt,"As Figure 6 illustrates, depending on the value of, the campaigners may be able to hold all or some free riders hostage, not necessarily in the sense that those free riders side with the campaigners,but at least in the sense that their opinions remain under the influence of the  campaigners  fixed opinion.",depending on
149.txt,"And we see that free riders starting with an opinion below 0.5 rapidly come to side with the truth-seekers, who all end up believing the truth, not held back by any of the free riders.",null
150.txt,That is very different in the upper right panel.,That is very different in
151.txt,"Unfortunately for the latter, because the free riders remain within their BCI, they are stuck with an  opinion that is not quite the truth.",stuck with an  opinion
154.txt,"This means that, while they may have no interest in furthering the  campaigners  cause, free riders at least take the risk of doing so.",have no interest in
155.txt,"Hence, in view of the results shown in Figure 5, it seems reasonable to conclude that free  riders are to some extent  furthering the campaigners  cause.","in view of the results shown in Figure 5, it seems reasonable to conclude that"
156.txt,"Below, we will be more precise about what damage free riders can do.",be more precise about
157.txt,"Before turning to that question, however, we want to briefly mention a variation of the above simulations that we will not  explore in any depth here, but that interested readers may want to investigate using the code in the  Supplementary Materials.",null
158.txt,"So far, we kept one parameter constant, number of truth-seekers .",So far
159.txt,"Instead, one could consider a setup in which the total numbers of agents truthseekers is kept constant, and in which we go through all combinations  of numbers of the three types of agents yielding that constant.",null
160.txt,The question about conversion  could then be asked for each of those  combinations.,null
162.txt,This figure is a so-called ternary plot.,null
163.txt,"For any point represented in the plot, the proportion of agents of the type associated with a given vertex is the shortest distance from the point to the edge  opposite the vertex, divided by the sum of the lengths of the shortest distances from the point to the  various edges.",the proportion of
164.txt,Each point in the plot shows the outcome of one  simulation for the corresponding combination of agents.,Each point in the plot shows
165.txt,The figure reveals a somewhat intricate pattern.,null
166.txt,"At the same time it is clear, however, that the  relative number of free riders in the population is decisive for whether the truth-seekers reach their  goal.",At the same time it is clear that
167.txt,"Where there are relatively few of the former, the truth-seekers arrive at the truth even when vastly outnumbered by campaigners.",arrive at
168.txt,"By contrast, where free riders constitute a sizable portion of the  population, they keep the truth-seekers away from the truth even if there are only very few campaigners  in the population.",By contrast
169.txt,"While we leave a further analysis of this result, and more generally the pursuit of  this variant of our previous simulations, for future research, it is still worth noting how even these  preliminary results underscore the above conclusion about the negative role of free riders.",it is still worth
170.txt,"The truth-seekers have a clear goal, to wit, finding out the truth.",have a clear goal
171.txt,"If campaigners can make it harder or  even impossible for truth-seekers to reach that goal, that could be said to constitute societal damage.",make it harder or  even impossible for
172.txt,"We propose to measure the amount of damage being done by campaigners in terms of the accuracy of  the opinions of the truth-seekers, more specifically by asking how much less accurate .",propose to
173.txt,"We compare four different situations featuring communities of agents who interact  according to the BC model extended to incorporate campaigners, and who receive input from the  world.",null
174.txt,"In all, there are 50 truth-seekers, who, starting with an opinion drawn randomly per agent, are  going to update 50 times.",In all
175.txt,"The two questions now are whether the presence of campaigners makes a difference to the accuracy  of the truth-seekers, and whether it matters how far from the truth the campaigners  opinion is.",makes a difference to
176.txt,"To answer these questions, we ran 1000 simulations for each of the four communities and measured in  each simulation the total inaccuracy .",null
177.txt,"Thus, the answer to our first question is that the presence of campaigners can come at a significant  societal cost, even if it is not guaranteed to do so.",it is not guaranteed to do
178.txt,"Remarkably, campaigners, at least in the case at hand,  compromise the accuracy of their truth-seeking community members the most if they are subtle.",null
179.txt,"At first blush, one might expect greater extremism on the part of the campaigners to do more damage to  the truth-seekers, in which case the fact that the extremists did not significantly affect the accuracy of  the truth-seekers at all may come as a surprise.",null
180.txt,"On more careful consideration, however, it makes a lot  of sense that blatant lying, or at least spreading blatant falsehoods, is going to be ineffective, simply  because the blatancy of the falsehoods makes those spreading them more easily identifiable as agents  whose opinions are to be discounted.",it makes a lot  of sense that
181.txt,"This is only an example, but the finding that campaigners are damaging only if they are subtle is quite  robust, holding across a range of combinations of parameter settings.",null
183.txt,"That being subtle is, under a broad range of conditions, the  better strategy from the campaigners  perspective is a finding we encountered before, and later on we  shall encounter it again.",null
184.txt,"Above, we looked at the impact that free riders could have on the conversion rate.",looked at the impact that
185.txt,"Let us also look if there is, or may be, any societal cost associated with their presence.",associated with
186.txt,"Example 3.2 We saw that, for the conversion rate, the number of free riders present did not seem to  matter much.",null
187.txt,"For most combinations of number of campaigners and values, if the presence of free  riders had an effect on conversion, it did so whether there were as many free riders as truth-seekers or  only a small minority of free riders.",had an effect on
188.txt,"Thus, consider four communities, all of which contain 50 truth-seekers and 15 campaigners, but the first of which contains only those agents, the second contains also 10 free riders, the third 25 free  riders, and the fourth 50.",null
189.txt,"Moreover, the following parameter settings hold in all of them.",null
190.txt,"We are measuring again the total sum of squared errors over 50 updates,running 1000 simulations per community.",null
191.txt,A visual comparison of the results is given in Figure 9.,comparison of
192.txt,"We discern a slight upward trend in SSEs as the number of free riders increases, although it is not immediately obvious from the figure whether  the impact is significant.",it is not immediately obvious from
193.txt,An ANOVA reveals that it is F  to differ significantly from each other.,it is F to differ significantly from
194.txt,It is equally unsurprising that we find a large effect size.,It is equally unsurprising that
195.txt,"Free riders, even if there were no chance that they impacted the accuracy of the truth-seekers, are morally blameworthy for the very general reason that they reap the benefits of the work done by others  while not making any contribution from which others could benefit in return.",there were no chance that
196.txt,"there is an additional reason, namely, precisely the fact that free  riders can significantly and greatly compromise the accuracy of the opinions of those willing to directly  seek information about the world;",there is an additional reason
197.txt,"it is quite reasonable to assume that people may want to adjust their broad- or narrow-mindedness  in counting others as peers, if perhaps just by imitation.",it is quite reasonable to assume that
198.txt,"Being around broad-minded or trusting  people, who are willing to take into account a great variety of opinions.",take into account
199.txt,"Indeed, we may all be uncertain to some extent about how  liberal we should be in listening to others, and we may well let ourselves be guided in this respect by  whoever we recognize as our current peers.",we may all be uncertain to
200.txt,"Moreover, adjusting our BCI may be a defense mechanism against the efforts of the campaigners  to convert us to their opinion or at least divert us from the truth.",null
201.txt,"After all, campaigners will not let  anyone influence their opinion, so they effectively have an of 0.",null
202.txt,Being in the neighborhood of such  people may make us more selective as regards deeming others worthy of influencing our opinion.,null
203.txt,"But that also offers some protection against the campaigners  influence, simply because they are less likely  to be in our peer group.",they are less likely  to
204.txt,"Naturally, for reasons already pointed out, we must guard against becoming  too selective, as that would also annihilate any positive effects social learning can have.",for reasons already pointed out
205.txt,The goal must  be to find the right level of caution.,null
206.txt,"Thus, an agents current peers determine both her new opinion and her new BCI, where the agents  start with a BCI determined by picking, randomly per agent, a real number in an interval ranging from  0 to some contextually set upper bound .",ranging from to
207.txt,"To develop some initial feeling for this further extension, one can compare simulations with and  without CD in a community of only truth-seekers.",compare with
208.txt,The left plot in Figure 11 shows the results for  running the standard BC model till a fixed point is reached.,null
210.txt,"In the figure, it appears that consensus occurs slightly faster without CD.",it appears that consensus occurs
211.txt,A grid  search we conducted did not yield a single parameter setting for which there was a significant difference in accuracy between updating without and updating with CD.,there was a significant difference in
212.txt,"Clearly, however, what we really want  to know is whether there is any effect of CD in .",what we really want  to know is whether there is any effect of
213.txt,"We consider right away communities made up of all three types of agents: truth-seekers, who also  attend to incoming evidence; campaigners, who stick to one and the same opinion from the start.",null
214.txt,We saw in the previous section that campaigners can keep truth-seekers from believing the truth.,keep from
215.txt,We  look at the difference CD may be able to make with regard to this.,look at
217.txt,"If we imagine that the campaigners are trying to lure away from the truth as many of the others  as possible, then we see that they are entirely successful in the situation depicted in the left panel of  Figure 12, in which CD is absent: literally no one ends up believing the truth.",null
218.txt,"All truth-seekers do end up believing something that could be said to be close to the truth, but none of them exactly hits the  mark which is especially disconcerting given that they attach three times as much weight in their  updating to the worldly part as to the social part.",could be said to be close to the truth
219.txt,"Moreover, the free riders are not even close to  in  this situation.",null
220.txt,"By contrast, in the right panel of the same figure, where CD is assumed, not only do all truth-seekers  end up believing the truth, but so does a majority of the free riders.",By contrast
221.txt,"It is also to be noted, however,  that in this situation there is a group of free riders who end up believing the falsehood spread by the  campaigners.",It is also to be noted that
222.txt,"If the latter are meaning to run a misinformation campaign, then they fail completely in  the first situation but at least partly succeed in the second.",null
223.txt,it is hard to give general recommendations concerning opinion dynamics.,it is hard to
224.txt,"In Section 2, we gave the example of a  politician just trying to divert from the truth voters tending toward her opponent, and not necessarily  to make them believe whatever lies she is propagating.",gave the example of
225.txt,"In view of Example 4.1, such a politician might actually be happy with CD being operative.",In view of
226.txt,"On the other hand, the Brexiteers who seriously tried  to convince the British electorate that Leave was their best option may not have been helped by CD.But let us look more systematically at the effects CD may have.",On the other hand
227.txt,A comparison between Figures 13 and 14 suggests a positive answer.,null
228.txt,"These figures show, for various  combinations of numbers of free riders and campaigners, the proportions of truth-seekers ending  up believing the truth and proportions of free riders ending up believing  the truth.",the proportions of
229.txt,The comparison suggests that  which of lying a lot and lying a little is better may entirely depend on whether CD is operative.,depend on
230.txt,"If it is not, then by being more moderate one will keep more truth-seekers and free riders from believing the truth, while if CD is present, then as far as truth-seekers ending up believing the truth is concerned.",as far as
231.txt,"As far as free riders are concerned, lying a little seems to be more effective, although the difference it  makes is small.",As far as free riders are concerned
232.txt,Now let us look at the situation from the perspective of the truth-seekers.,the perspective of
233.txt,Figures 13 and 14 show  that they need not concern themselves much with how many free riders or campaigners there are in their community; these numbers do not appear to matter a whole lot.,null
234.txt,"By contrast, CD can make all the  difference, depending on how far from the truth the misinformation being spread is.",By contrast
235.txt,"Indeed, Figure 13 shows just how dramatic the difference can be when the misinformation is relatively close to the truth:  then virtually all truth-seekers end up believing the truth  if CD is assumed, while virtually no one ends up believing the truth if there is no CD.",is relatively close to
236.txt,"When there is a relatively wide gap between  and , CD hardly makes a difference, as Figure 14 shows; here, the  community appears to be even slightly better off without CD.",makes a difference to
237.txt,These results bear on disinformation campaigns.,null
238.txt,"As for misinformation campaigns, the situation for truth-seekers is similar to the one described on page 11, where we found that, although campaigners  were, under certain circumstances, able to block the truth-seekers from reaching the truth, they were in  general unable to convince the truth-seekers of their fixed opinion.",is similar to
239.txt,"The same turns out to be true here,  and this irrespective of whether CD is assumed.",turns out to be true
240.txt,"For free riders, the picture can look very different, in that, depending on the parameter setting , CD can have a big impact, but not necessarily a positive one.",null
241.txt,"Figure 15 shows, for three different parameter settings, the effect of CD on the proportion of free riders  that side with the campaigners in the fixed point.",the effect of
242.txt,"As is clear from the figure, for two of the three parameter settings there is a greater chance for free  riders to end up with the campaigners in a community with CD than in one without it.",As is clear from the figure
243.txt,"So, in a situation in which evildoers are helped enough if they can sway some free riders perhaps having no hope of diverting any truth-seekers from the truth they may be more effective if they are operating  in a community with CD.",having no hope of
244.txt,"By comparing the top and bottom row of Figure 15, we also see that, if this is what the campaigners are after, they better lie blatantly rather than subtly.",rather than
245.txt,"It is starting to appear  again that, once we admit non-truthfulness in the BC model, the only consistent message may be that  there is no consistent message.",It is starting to appear  again that
246.txt,What is strategically best from the evildoers perspective and what is  best for us to defend ourselves against them both appear to be highly context-dependent.,what is  best for us to
247.txt,"To show the effect of CD on accuracy, we look at what difference it makes if this kind of dynamics is  assumed in the situations studied in Examples 3.1 and 3.2.",the effect of
248.txt,"In the former, we compared in terms of accuracy a community without campaigners with communities with campaigners.",compared with
249.txt,"In the latter example, we compared, also in terms of accuracy, communities with different numbers of free  riders.",compared with
250.txt,In none of the examples did we implement CD.,null
251.txt,"Figure 16 shows the results from running 1,000 simulations for each community and measuring  the SSEs, so that the average starting BCI size of the truthseekers  is the same as the BCI size of the truth-seekers in Example 3.1.",null
252.txt,"In short, it appears that  whether the campaigners lie blatantly or subtly, they are, in a community in which the truth-seekers  adjust their BCIs by averaging in the way described in this section, very limited in the amount of  damage they can do.","In short, it appears that"
253.txt,"We wish we could give a clear and unequivocal answer to the question of whether, in a community  which includes campaigners , it helps when the other agents are open to becoming narrow-minded themselves.",give a clear and unequivocal answer to the question of
254.txt,"But once again,  our results are a mixed bag, indicating that, under certain circumstances, the answer is positive but  that at the same time it would be unwise to recommend CD generally.",at the same time
255.txt,"Finally, we would like to present an extension of the BC model that takes the idea of making BC  updating more realistic one step further still.",we would like to present an extension of
256.txt,"Just as, in reality, BCIs will not be the same for all agents  and from one time step to the next, the weight agents give to their peers  opinions will also not be the  same for all of them, nor remain unchanged through time.",null
257.txt,There is a vast psychological literature on  the so-called conformity bias.,null
258.txt,"In this model, for truth-seekers, their peers influence their new opinion, their BCI, and also the weight  they are going to give to the social part of updating at the next update.",null
260.txt,"But we want a model with full confidence dynamics to allow for a bit more flexibility, by giving  agents some control over how fast their values for  and change under the influence of their peers.",null
261.txt,"For instance, some of us may be much faster in following a trend than others.",For instance
